"Sample ID","Sample Data Type","AC50 (uM)","CC-v2","Max Resp","Structure"
"NCGC00617949-02","activity-counterscreen","20.45077",-2.200,-56.954,"O=C(N)C1NCCN(c2ncnc3sc(c(C)c23)-c2ccccc2)C1"
"NCGC00883672-01","activity-counterscreen","null",4.000,2.068,"S(=O)(=O)(NC(=O)c1cc(CS(=O)(=O)C)ccc1)Cc1ccc(F)cc1"
"NCGC00880419-01","activity-counterscreen","null",4.000,4.553,"Fc1cc(F)cc(NC(=O)N2C(c3[nH]ccc3)CCC2)c1"
"NCGC00880958-01","activity-counterscreen","null",4.000,0.303,"O=C1N(C)N=C(C)C(C)=C1c1scc(-c2sc(C)cc2)n1"
"NCGC00884132-01","activity-counterscreen","null",4.000,-0.153,"O=C(Nc1noc(C)c1)C(CCCC)N1Cc2n(c(C)c(C)n2)CC1"
"NCGC00880383-01","activity-counterscreen","null",4.000,-0.433,"FC(F)Oc1c(OC)cc2C(=O)NC(c3oc(C)cc3)=Nc2c1"
"NCGC00879413-01","activity-counterscreen","null",4.000,-2.000,"O=C1Nc2c(N1)ccc(-c1nc(Nc3cc(C)ccc3)sc1)c2"
"NCGC00880280-01","activity-counterscreen","null",4.000,-1.390,"N(Cc1cn(C(C)(C)C)nc1)c1oc(CCC)nn1"
"NCGC00880297-01","activity-counterscreen","null",4.000,4.579,"O=C(O)c1c(Oc2cc(C)ccc2)cccc1"
"NCGC00879073-01","activity-counterscreen","null",4.000,-1.650,"O=C(O)Cc1c(C(=O)OC)sc2N=C(C)NC(=O)c12"
"NCGC00878909-01","activity-counterscreen","null",4.000,-2.002,"Brc1ccc(CNc2scnn2)cc1"
"NCGC00880348-01","activity-counterscreen","null",4.000,3.830,"S(=O)(=O)(N)c1ccc(Nc2sc(CC(=O)O)c(-c3ccccc3)n2)cc1"
"NCGC00883176-01","activity-counterscreen","null",4.000,-0.989,"S(=O)(=O)(Nc1cc(NC2CCC(C(=O)O)CC2)c(OC)cc1)C"
"NCGC00883826-01","activity-counterscreen","null",4.000,-0.199,"Fc1c(NCc2nc(N(C)C)sc2)cc(OC)c([N+](=O)[O-])c1"
"NCGC00883583-01","activity-counterscreen","null",4.000,1.997,"N(C(c1c(C)[nH]c2c1cccc2)c1ncccc1)c1nccc(C)c1"
"NCGC00879920-01","activity-counterscreen","null",4.000,1.131,"Fc1ccc(-c2n(c(CCC(=O)O)cc2)-c2cc(O)ccc2)cc1"
"NCGC00879622-01","activity-counterscreen","22.946142",-2.200,-51.156,"N(CC)c1ncnc2scc(-c3ccccc3)c12"
"NCGC00879479-01","activity-counterscreen","null",4.000,-0.011,"O=C(N1CCN(C(C)C2=Nc3sc4c(c3C(=O)N2)CCC(C)C4)CC1)c1ccccc1"
"NCGC00882441-01","activity-counterscreen","18.226768",-2.200,-70.586,"Fc1c(C(Nc2ncnc3[nH]ncc23)C)cc(F)cc1"
"NCGC00880554-01","activity-counterscreen","null",4.000,-0.563,"Fc1c(C)ccc(C(=O)Nc2sc3c(n2)CCC3)c1"
"NCGC00884108-01","activity-counterscreen","2.888748",-1.100,-90.450,"OC[C@@]1[C@@](O)[C@@](O)[C@](n2c3ncnc(N4c5c(cccc5)CC4)c3nc2)O1"
"NCGC00281240-03","activity-counterscreen","null",4.000,-0.451,"O=C1Oc2c(N1)ccc(-c1nc(Nc3ccccc3)sc1)c2"
"NCGC00882225-01","activity-counterscreen","null",4.000,-0.191,"Clc1oc(C(=O)N2CC(c3cc(OC)ccc3)OCC2)cc1"
"NCGC00019438-03","activity-counterscreen","null",4.000,2.269,"O=C(CCC)N1Cc2c3c([nH]c2CC1)cccc3"
"NCGC00883428-01","activity-counterscreen","null",4.000,3.542,"S(=O)(=O)(NC(C)C)c1cc(C(=O)NCc2n3c(nn2)C=CC=C3)ccc1"
"NCGC00880124-01","activity-counterscreen","null",4.000,-1.104,"Fc1cc(NC(=O)c2n[nH]cc2)c(NC(C)C)cc1"
"NCGC00883572-01","activity-counterscreen","null",4.000,0.046,"S(=O)(=O)(NC)C1CCN(C(=O)c2[nH]c3c(c2)cc(F)cc3)CC1"
"NCGC00879890-01","activity-counterscreen","null",4.000,-7.379,"O=C(NCc1c(C)cccc1)c1cc2NC(=O)C3N(c2cc1)CCC3"
"NCGC00880156-01","activity-counterscreen","null",4.000,-0.197,"S(=O)(=O)(Nc1c(C)cc(O)nc1)c1sc(C(=O)O)c(C)c1"
"NCGC00880431-01","activity-counterscreen","null",4.000,0.672,"Brc1cc(NCc2c(OC)nccc2)cnc1"
"NCGC00879170-01","activity-counterscreen","null",4.000,0.265,"N#CCCn1ncc2c(Nc3cnc(N(CC)CC)cc3)ncnc12"
"NCGC00604006-02","activity-counterscreen","null",4.000,-1.332,"Clc1c(Cl)ccc(-n2nnc(CN3CC(NC)CC3)c2)c1"
"NCGC00883248-01","activity-counterscreen","null",4.000,-0.293,"O=C(O)c1cc(OCCN2C(C3OCCC3)COCC2)ccc1"
"NCGC00879583-01","activity-counterscreen","null",4.000,0.303,"O=C(OCC)C1CCN(CC2=Nc3sc4c(c3C(=O)N2)CCCC4)CC1"
"NCGC00624872-02","activity-counterscreen","12.903564",-2.100,-83.350,"OC1CN(c2ncnc3scc(-c4ccccc4)c23)CCC1"
"NCGC00881401-01","activity-counterscreen","20.45077",-2.200,-47.183,"O=C(NCC)C(Nc1ncnc2sc(c(C)c12)-c1ccccc1)C"
"NCGC00640653-02","activity-counterscreen","null",4.000,1.317,"S(c1n(c(C)nn1)-c1cc(NC(=O)C)ccc1)c1c(C#N)cc([N+](=O)[O-])cc1"
"NCGC00883502-01","activity-counterscreen","null",4.000,-1.332,"O=C(OCC)c1c(NCCOC)nc2c(n1)cccc2"
"NCGC00604708-02","activity-counterscreen","null",4.000,2.491,"Fc1c(NC(=O)C)cc(NCC(=O)N2C(C)CCc3c2cccc3)cc1"
