"Entry ID","Entry Name","Sample ID","Sample Data Type","AC50 (uM)","CC-v2","Max Resp","Structure"
"1","Minisytravon-Cherrypicks-washed.1","NCGC00118047-01","activity-cherrypicks","28.183829",-2.200,-64.750,"Brc1ccc(-c2oc(CNCCCSc3n(C)nnn3)cc2)cc1"
"2","Minisytravon-Cherrypicks-washed.2","NCGC00131950-01","activity-cherrypicks","null",4.000,-8.225,"Fc1c(-c2nn3C(CCNC(=O)c4occc4)=CSc3n2)cccc1"
"3","Minisytravon-Cherrypicks-washed.3","NCGC00131290-01","activity-cherrypicks","15.848932",-1.200,-81.516,"C(C)N1CCN(c2nc3c(cn2)CN(Cc2c(C)ccs2)CC3)CC1"
"4","Minisytravon-Cherrypicks-washed.4","NCGC00106866-01","activity-cherrypicks","null",4.000,-7.965,"Brc1oc(-c2c(Nc3c(C)cccc3)n3c(n2)C=CC(Cl)=C3)cc1"
"5","Minisytravon-Cherrypicks-washed.5","NCGC00103187-01","activity-cherrypicks","null",4.000,-3.435,"Clc1cc(-c2oc(C(=O)Nc3c4ncccc4ccc3)cc2)ccc1"
"6","Minisytravon-Cherrypicks-washed.6","NCGC00126363-01","activity-cherrypicks","25.118864",-2.200,-46.703,"O=C(NCc1occc1)CN1C(=O)c2[nH]c3c(c2C=N1)cc(C)cc3"
"7","Minisytravon-Cherrypicks-washed.7","NCGC00101149-01","activity-cherrypicks","28.183829",-2.200,-35.174,"O=C(Nc1ccccc1)C1=C(C)Nc2n(C1c1ccccc1)nc(-c1occc1)n2"
"8","Minisytravon-Cherrypicks-washed.8","NCGC00121787-01","activity-cherrypicks","17.782794",-2.400,-23.842,"O=C(Nc1c(O)ccc(C)c1)c1onc(-c2c(O)cccc2)c1"
"9","Minisytravon-Cherrypicks-washed.9","NCGC00103112-01","activity-cherrypicks","35.481339",-2.400,-27.992,"Clc1c(NC(=O)CSc2n(C)ccn2)cc(Cl)cc1"
"10","Minisytravon-Cherrypicks-washed.10","NCGC00100362-01","activity-cherrypicks","28.183829",-2.200,-60.592,"O=C(NCc1occc1)C=1C(=N)N(CCOC)C=2N=C3N(C(=O)C=2C=1)C=C(C)C=C3"
"11","Minisytravon-Cherrypicks-washed.11","NCGC00099348-01","activity-cherrypicks","null",4.000,-3.645,"O(C)c1c(-c2n(-c3c(C#N)c4c(s3)CCCCC4)ncn2)cccc1"
"12","Minisytravon-Cherrypicks-washed.12","NCGC00102732-01","activity-cherrypicks","31.622777",-2.200,-57.909,"Clc1ccc(-c2n(Cc3ccccc3)cc3N(C)C(=O)N(C)C(=O)c23)cc1"
"13","Minisytravon-Cherrypicks-washed.13","NCGC00115377-01","activity-cherrypicks","15.848932",-1.100,-93.532,"Clc1c(CN(C(=O)c2c(C)c3c(o2)ccc(F)c3)Cc2occc2)cccc1"
"14","Minisytravon-Cherrypicks-washed.14","NCGC00134150-01","activity-cherrypicks","null",4.000,-7.139,"Clc1c(NC(=O)N2CCN(CC=3N=C4SC(c5c(OC)cccc5)=NN4C(=O)C=3)CC2)ccc(C)c1"
"15","Minisytravon-Cherrypicks-washed.15","NCGC00111039-01","activity-cherrypicks","31.622777",-2.200,-30.244,"O=C1c2c(NC3CCCCC3)cc(NCC(C)C)c3noc(c23)-c2c1cccc2"
"16","Minisytravon-Cherrypicks-washed.16","NCGC00122525-01","activity-cherrypicks","14.125375",-2.200,-76.455,"C(N1CCN(c2c(C)ccc(C)c2)CC1)c1cc(C)sc1"
"17","Minisytravon-Cherrypicks-washed.17","NCGC00101773-01","activity-cherrypicks","null",4.000,-16.821,"Cc1c(-c2n3N=C(c4ccc(C)cc4)c4c(-c3nn2)cccc4)cccc1"
"18","Minisytravon-Cherrypicks-washed.18","NCGC00100367-01","activity-cherrypicks","11.220185",-1.100,-95.488,"O=C(O)c1ccc(NC(=O)c2c(N)c3c(s2)nc2c(c3)CCCC2)cc1"
"19","Minisytravon-Cherrypicks-washed.19","NCGC00164830-01","activity-cherrypicks","25.118864",-2.100,-87.778,"Clc1c(C)ccc(NC(=O)CC2N(CC)CCOC2=O)c1"
"20","Minisytravon-Cherrypicks-washed.20","NCGC00141220-01","activity-cherrypicks","28.183829",-2.200,-77.576,"Brc1cc(S(=O)(=O)n2c(CCC)ncc2)c(OC)cc1"
"21","Minisytravon-Cherrypicks-washed.21","NCGC00118029-01","activity-cherrypicks","null",4.000,-16.617,"S(C(C(=O)OC)C)c1n2-c3c(C)cc(C)cc3C(C)=Cc2nn1"
"22","Minisytravon-Cherrypicks-washed.22","NCGC00107655-01","activity-cherrypicks","null",4.000,-3.447,"O=C(Nc1c(OC)cc2N(C)C(=O)N(C)c2c1)c1c(C)cccc1"
"23","Minisytravon-Cherrypicks-washed.23","NCGC00108886-01","activity-cherrypicks","null",4.000,-6.743,"Clc1ccc(-c2c(Nc3cc4OCOc4cc3)n3c(n2)C=C(C)C=C3)cc1"
"24","Minisytravon-Cherrypicks-washed.24","NCGC00132540-01","activity-cherrypicks","31.622777",-2.200,-43.407,"S(=O)(=O)(Nc1ccc(-c2nnc(OC)cc2)cc1)c1ccc(C(=O)C)cc1"
"25","Minisytravon-Cherrypicks-washed.25","NCGC00117139-01","activity-cherrypicks","null",4.000,-4.586,"Fc1c(C(=O)N2CCN(CC=3c4c(OC(=O)C=3)ccc(OC)c4)CC2)cccc1"
"26","Minisytravon-Cherrypicks-washed.26","NCGC00118995-01","activity-cherrypicks","31.622777",-2.200,-56.957,"Clc1ccc(OCC(=O)N(Cc2oc(C)cc2)c2ncccc2)cc1"
"27","Minisytravon-Cherrypicks-washed.27","NCGC00117637-01","activity-cherrypicks","31.622777",-2.200,-31.056,"Clc1ccc(Cc2nn3C(Nc4ccc(OCC)cc4)=CC(C)=Nc3n2)cc1"
