"Entry Name","Sample ID","Sample Data Type","AC50 (uM)","CC-v2","Max Resp","Structure"
"Minisytravon-Counterscreen-washed.1","NCGC00134685-01","activity-counterscreen","null",4.000,8.653,"S(=O)(=O)(N1C(C)CCCC1)c1ccc(C(=O)Nc2c(C(=O)NC)c3c(s2)CCC3)cc1"
"Minisytravon-Counterscreen-washed.2","NCGC00137047-01","activity-counterscreen","null",4.000,16.438,"S(CC(=O)Nc1sc2c(n1)ccc(C)c2)C=1C(C)=CNC(=O)N=1"
"Minisytravon-Counterscreen-washed.3","NCGC00118967-01","activity-counterscreen","null",4.000,15.750,"O=[N+]([O-])c1c(OCC(=O)N(Cc2occc2)c2ncccc2)cccc1"
"Minisytravon-Counterscreen-washed.4","NCGC00108024-01","activity-counterscreen","0.354813",1.400,13.085,"Fc1c(C=2N(c3ccc(OC)cc3)C(=O)c3c(n(-c4ccc(C)cc4)nc3)N=2)cccc1"
"Minisytravon-Counterscreen-washed.5","NCGC00140733-01","activity-counterscreen","null",4.000,13.500,"O=C(Nc1c(OC)cccc1)c1c(NCc2c(C)ccs2)sc2c1CCCCC2"
"Minisytravon-Counterscreen-washed.6","NCGC00130890-01","activity-counterscreen","null",4.000,26.733,"S(=O)(=O)(N(CC)CC)c1cc2N(CC(=O)NCc3ccccc3)C(=O)C3N(c2cc1)CCCC3"
"Minisytravon-Counterscreen-washed.7","NCGC00110490-01","activity-counterscreen","null",4.000,6.917,"S(=O)(=O)(N(CC(=O)N(CC)c1ccc(OC)cc1)C)c1cc2C(=O)N(C)C(=O)N(C)c2cc1"
"Minisytravon-Counterscreen-washed.8","NCGC00117574-01","activity-counterscreen","null",4.000,0.753,"O=C(C)c1c(C)nc(NC(=O)C=2C(=O)N(C)N=C(c3ccccc3)C=2c2ccccc2)s1"
"Minisytravon-Counterscreen-washed.9","NCGC00140548-01","activity-counterscreen","null",4.000,19.321,"O=C(OCC)c1ccc(NC(=O)c2c(NCc3cc(OC)ccc3)sc3c2CCC3)cc1"
"Minisytravon-Counterscreen-washed.10","NCGC00100303-01","activity-counterscreen","null",4.000,0.884,"O=C(Oc1c(OC)cc(C2N=C(O)c3c(sc4c3CCN(C)C4)N2)cc1)c1ccccc1"
"Minisytravon-Counterscreen-washed.11","NCGC00132148-01","activity-counterscreen","null",4.000,0.232,"O=C(NCc1ccc(OC)cc1)CN1C(=O)CCn2nc(-c3c4c(n(C)c3)cccc4)cc12"
"Minisytravon-Counterscreen-washed.12","NCGC00126847-01","activity-counterscreen","null",4.000,17.975,"Fc1ccc(N2CCN(CCCNc3nc(C)nc4oc(C)c(C(=O)OCC)c34)CC2)cc1"
"Minisytravon-Counterscreen-washed.13","NCGC00118871-01","activity-counterscreen","null",4.000,13.019,"O=C(COc1cc(C)c(C)cc1)N1CCN(CCc2ccncc2)CC1"
"Minisytravon-Counterscreen-washed.14","NCGC00139549-03","activity-counterscreen","null",4.000,19.841,"O=C(OCC)N1Cc2sc(NCc3ccc(N(C)C)cc3)c(C(=O)Nc3ccc(OC)cc3)c2CC1"
"Minisytravon-Counterscreen-washed.15","NCGC00112251-01","activity-counterscreen","0.251189",1.400,11.324,"O=C(N(CCC(C)C)Cc1occc1)c1sc2-c3c(OCc2c1)cccc3"
"Minisytravon-Counterscreen-washed.16","NCGC00117637-01","activity-counterscreen","0.199526",1.400,23.432,"Clc1ccc(Cc2nn3C(Nc4ccc(OCC)cc4)=CC(C)=Nc3n2)cc1"
"Minisytravon-Counterscreen-washed.17","NCGC00132417-01","activity-counterscreen","null",4.000,17.153,"S(=O)(=O)(N1CCCCCC1)c1cn(C)c(C(=O)N2CCN(c3ccc(C(=O)C)cc3)CC2)c1"
"Minisytravon-Counterscreen-washed.18","NCGC00104167-01","activity-counterscreen","null",4.000,-7.128,"Fc1ccc(C(=O)/N=C/2\N(CC3OCCC3)C=3N=C4N(C(=O)C=3C=C\2C(=O)OCC)C=CC=C4)cc1"
"Minisytravon-Counterscreen-washed.19","NCGC00133513-01","activity-counterscreen","null",4.000,12.888,"S(C)c1ccc(C(N2CCC(C(=O)OCC)CC2)C=2C(=O)N(Cc3occc3)C(C)=CC=2O)cc1"
"Minisytravon-Counterscreen-washed.20","NCGC00133382-01","activity-counterscreen","null",4.000,15.267,"S(Cc1ccc(C(=O)OC)cc1)c1c(C(C)C)cnc2N(C)C(=O)N(C)C(=O)c12"
"Minisytravon-Counterscreen-washed.21","NCGC00120106-01","activity-counterscreen","null",4.000,24.019,"S(c1c(C(=O)N2CCC(C)CC2)[nH]c2c1ccc(OC)c2)c1ccccc1"
"Minisytravon-Counterscreen-washed.22","NCGC00118367-01","activity-counterscreen","null",4.000,-0.481,"O=C(Nc1c(C(=O)OC)c(-c2sccc2)cs1)COc1ccc(CCC)cc1"
"Minisytravon-Counterscreen-washed.23","NCGC00129574-01","activity-counterscreen","null",4.000,17.978,"O=C(Nc1c(OC)ccc(OC)c1)CN1C(=O)C=C(c2ccccc2)c2c(C)nn(C)c12"
"Minisytravon-Counterscreen-washed.24","NCGC00101707-01","activity-counterscreen","null",4.000,-9.246,"O=C(Nc1sc2c(n1)-c1c(cc(OC)cc1)C2)c1ccc(OC)cc1"
"Minisytravon-Counterscreen-washed.25","NCGC00109295-01","activity-counterscreen","0.354813",1.400,9.912,"S(=O)(=O)(N1CCC(C(=O)Nc2cc(C)cc(C)c2)CC1)c1c(/C=C/c2occc2)onc1C"
"Minisytravon-Counterscreen-washed.26","NCGC00104476-01","activity-counterscreen","null",4.000,7.440,"S(=O)(=O)(c1c(SCC(=O)NC2CCCCC2)oc(-c2ccc(C)cc2)n1)c1ccccc1"
"Minisytravon-Counterscreen-washed.27","NCGC00098473-01","activity-counterscreen","null",4.000,8.509,"Brc1ccc(C(=O)Nc2c(C(=O)Nc3ccc(OC)cc3)c3c(s2)CCCC3)cc1"
"Minisytravon-Counterscreen-washed.28","NCGC00100141-01","activity-counterscreen","null",4.000,-8.102,"Fc1c(C2C(C(=O)Nc3c(OC)cccc3)=C(C)Nc3n2nc(-c2occc2)n3)cccc1"
"Minisytravon-Counterscreen-washed.29","NCGC00118212-01","activity-counterscreen","null",4.000,13.613,"O=[N+]([O-])c1cc(C(=O)N2c3n(C4([C@]5[C@@]2CCCC5)CCCCC4)nc(-c2occc2)n3)ccc1"
"Minisytravon-Counterscreen-washed.30","NCGC00138751-01","activity-counterscreen","null",4.000,4.777,"S(CC(=O)Nc1cc(F)c(C)cc1)C=1n2nc(CCn3c(C)cnc3)nc2-c2c(N=1)cccc2"
"Minisytravon-Counterscreen-washed.31","NCGC00123127-01","activity-counterscreen","null",4.000,-8.476,"S(Cc1cc(F)ccc1)c1c2c(n(CC(=O)N3CCC(C)CC3)c1)cccc2"
"Minisytravon-Counterscreen-washed.32","NCGC00108587-01","activity-counterscreen","null",4.000,12.641,"Fc1cc(C2N(c3ccc(C(=O)OCC)cc3)C(=O)c3[nH]nc(-c4occc4)c23)ccc1"
"Minisytravon-Counterscreen-washed.33","NCGC00137672-01","activity-counterscreen","null",4.000,-0.640,"Brc1ccc(C(=O)Nc2cc(C(=O)O)c(N3CCC(N4CCCCC4)CC3)nc2)cc1"
"Minisytravon-Counterscreen-washed.34","NCGC00120434-01","activity-counterscreen","null",4.000,23.480,"Clc1c(NC(=O)CSC2=NC3=C(C(=O)N2)CN(Cc2cc4OCOc4cc2)CC3)cccc1"
"Minisytravon-Counterscreen-washed.35","NCGC00132091-01","activity-counterscreen","null",4.000,8.363,"O=C(OCc1occc1)c1cc2N(Cc3c(C#N)cccc3)C(=O)c3c(Sc2cc1)cccc3"
"Minisytravon-Counterscreen-washed.36","NCGC00102055-01","activity-counterscreen","0.223872",1.200,19.793,"S(CCCC(=O)Nc1c(OC)cc(OC)cc1)c1nc(C(F)(F)F)cc(-c2occc2)n1"
"Minisytravon-Counterscreen-washed.37","NCGC00131997-01","activity-counterscreen","null",4.000,14.439,"Brc1ccc(NC(=O)N2CCN(S(=O)(=O)c3cc4c(n(C)cc4)cc3)CCC2)cc1"
"Minisytravon-Counterscreen-washed.38","NCGC00101565-01","activity-counterscreen","null",4.000,12.274,"S(CC(=O)Nc1c(C(=O)OCC)c(C)c(C)s1)c1nc(C(F)(F)F)cc(-c2ccc(OC)cc2)n1"
"Minisytravon-Counterscreen-washed.39","NCGC00107942-01","activity-counterscreen","null",4.000,14.542,"S(=O)(=O)(Nc1cc(OC)ccc1)c1cc2C(=O)C(C(=O)N(Cc3occc3)C)=CNc2cc1"
