"Sample ID","Sample Data Type","AC50 (uM)","CC-v2","Max Resp","Structure"
"NCGC00419972-01","Activity-cherrypicks","23.551533",-2.200,-60.737,"O=C(Nc1c(C)cccc1)c1cnc2c(N(c3c(OC)cccc3)CCC2)c1"
"NCGC00396518-01","Activity-cherrypicks","null",4.000,-2.081,"N(Cc1oc(C)cc1)C1(Cc2noc(-c3ncccc3)c2)COC1"
"NCGC00391214-01","Activity-cherrypicks","null",4.000,-22.878,"S=C(Nc1ccc(F)cc1)N[C@@]1[C@]2OC[C@](n3c(Oc4cc5OCOc5cc4)nnn3)[C@]2OC1"
"NCGC00391266-01","Activity-cherrypicks","null",4.000,-2.538,"O=C(C)N1CCC(N2C[C@]3N(CC4CC4)C(=O)CO[C@]3C2)CC1"
"NCGC00421438-01","Activity-cherrypicks","29.649624",-3.000,-30.146,"O=C(NC[C@@]1N2C[C@](c3nc(C)nc(-c4occc4)c3)[C@](C1)CC2)C(C)(C)C"
"NCGC00393049-01","Activity-cherrypicks","null",4.000,5.236,"O=C(N[C@]1[C@](O)[C@](O)C[C@@]1c1c(C)cccc1)c1c(C)cccc1"
"NCGC00396418-01","Activity-cherrypicks","null",4.000,-0.456,"O=C(N[C@]1[C@](O)[C@](O)C[C@@]1c1ccc(C)cc1)C1CC1"
"NCGC00392572-01","Activity-cherrypicks","null",4.000,-0.234,"O(C)c1c(N2CCN([C@@]3[C@@](O)[C@](NCc4occc4)[C@@]4O[C@]3OC4)CC2)cccc1"
"NCGC00416760-01","Activity-cherrypicks","26.425255",-2.200,-36.145,"O(c1c(-c2nccc3C(=O)C=C(c4ccncc4)Oc23)cccc1)c1ccccc1"
"NCGC00416093-01","Activity-cherrypicks","null",4.000,-9.279,"O=C(Nc1cc(OC)c(OC)cc1)c1cc2NC(COc3ccccc3)(C)COc2cc1"
"NCGC00417730-01","Activity-cherrypicks","null",4.000,-13.165,"O=C(NCc1occc1)c1c(C)onc1-c1c(NCc2cnccc2)n(C)nc1"
"NCGC00397151-01","Activity-cherrypicks","null",4.000,4.029,"O=C1N(Cc2oc(C)cc2)C(=O)[C@]2N(C31CN(C1CCOCC1)C3)C[C@](O)C2"
"NCGC00397180-01","Activity-cherrypicks","29.649624",-2.400,-28.780,"O=C1N(Cc2oc(C)cc2)C(=O)[C@]2N(C31CN(C1Cc4c(cccc4)C1)C3)C[C@](O)C2"
"NCGC00414447-01","Activity-cherrypicks","null",4.000,3.973,"Clc1ccc(C(=O)N2CCC3(C(=O)N(CC4CCOCC4)CCO3)CC2)cc1"
"NCGC00401301-01","Activity-cherrypicks","26.425255",-2.100,-81.233,"S(Cc1occc1)c1n([C@@]2[C@]3OC[C@@](OC(=O)Nc4ccccc4)[C@]3OC2)nnn1"
"NCGC00397145-01","Activity-cherrypicks","33.267425",-2.200,-57.516,"O=C1N(Cc2oc(C)cc2)C(=O)[C@]2N(C31CN(Cc1ccncc1)C3)C[C@](O)C2"
"NCGC00419957-01","Activity-cherrypicks","29.649624",-2.400,-24.251,"Clc1cc(NC(=O)c2cnc3c(N(Cc4ccccc4)CCC3)c2)ccc1"
"NCGC00399945-01","Activity-cherrypicks","null",4.000,-2.461,"O=C(OC)[C@]1N2[C@](c3cc(OC)ccc3)C[C@](NCCO)C[C@@]2c2[nH]c3c(c2C1)cccc3"
"NCGC00397139-01","Activity-cherrypicks","null",4.000,-13.830,"O=C1N(Cc2oc(C)cc2)C(=O)[C@]2N(C31CN(Cc1cnccc1)C3)C[C@](O)C2"
"NCGC00396123-01","Activity-cherrypicks","null",4.000,-0.851,"O=C(NCC1(COc2nccnc2)C[C@@](O)[C@@](O)C1)c1[nH]c2c(n1)cccc2"
"NCGC00447882-01","Activity-cherrypicks","22.946142",-2.200,-42.330,"O=C(O)Cn1c(C2C3(OC(=O)C2)CCCC3)nc(-c2oc(C)cc2)n1"
"NCGC00412678-01","Activity-cherrypicks","null",4.000,-4.045,"O(C)c1c(-c2c3c(c(Nc4cc5OCCOc5cc4)nc2)OCC3)cccc1"
"NCGC00375640-01","Activity-cherrypicks","null",4.000,-8.686,"Clc1sc2ncnc(N3CC4N(CC(F)(F)F)C(C3)CC4)c2n1"
"NCGC00412953-01","Activity-cherrypicks","29.649624",-2.200,-42.466,"O=C(Nc1cnc(OC)cc1)C1(C)c2nc(Nc3cc(OC)ccc3)ncc2CC1"
"NCGC00412001-01","Activity-cherrypicks","16.673209",-2.400,-29.211,"FC(F)(F)c1cc(C=2C=C(c3cnc(O)cc3)c3n(cnc3)C=2)ccc1"
"NCGC00400537-01","Activity-cherrypicks","29.649624",-2.200,-74.580,"Clc1ccc(S(=O)(=O)N2[C@](C(=O)OC)Cc3ncn(C)c3C2)cc1"
"NCGC00391851-01","Activity-cherrypicks","null",4.000,-4.716,"O(c1n([C@@]2[C@]3OC[C@](NCc4occc4)[C@]3OC2)nnn1)c1ccc(-n2cncc2)cc1"
"NCGC00401725-01","Activity-cherrypicks","37.326665",-3.000,-38.861,"S(=O)(=O)(N1[C@](C(=O)OC)Cc2ncn(CCC)c2C1)c1ccc(C#N)cc1"
"NCGC00416763-01","Activity-cherrypicks","null",4.000,-13.911,"O=C1c2c(c(-c3c(O)cccc3)ncc2)OC(c2ccncc2)=C1"
"NCGC00397131-01","Activity-cherrypicks","null",4.000,-2.969,"O=C1N(Cc2oc(C)cc2)C(=O)[C@]2N(C31CN(C1CCCC1)C3)C[C@](O)C2"
"NCGC00423155-01","Activity-cherrypicks","null",4.000,-7.941,"O=C(N[C@]1[C@@](OCc2ncsc2)CCOC1)Cc1cscc1"
"NCGC00397185-01","Activity-cherrypicks","null",4.000,-4.005,"O=C1N(Cc2oc(C)cc2)C(=O)[C@]2N(C31CN(CC1CC1)C3)C[C@](O)C2"
"NCGC00416759-01","Activity-cherrypicks","29.649624",-2.200,-59.105,"O=C1c2c(c(-c3c(C)cccc3)ncc2)OC(c2ccncc2)=C1"
"NCGC00397162-01","Activity-cherrypicks","null",4.000,-14.996,"O(C)c1ccc(CN2CC3(C(=O)N(Cc4oc(C)cc4)C(=O)[C@]4N3C[C@](O)C4)C2)cc1"
"NCGC00416884-01","Activity-cherrypicks","null",4.000,-3.916,"O(C)c1c(Oc2ccccc2)cc2NC(=O)C3(c2c1)CCN(c1ncccn1)CC3"
"NCGC00397191-01","Activity-cherrypicks","16.244624",-2.400,-25.722,"FC(F)(F)Oc1cc(CN2CC3(C(=O)N(Cc4oc(C)cc4)C(=O)[C@]4N3C[C@](O)C4)C2)ccc1"
"NCGC00390983-01","Activity-cherrypicks","null",4.000,-9.369,"Fc1ccc(-c2nc(C)nc([C@@]3[C@@]4C[C@](CNC(=O)c5occc5)N(C3)CC4)c2)cc1"
"NCGC00417725-01","Activity-cherrypicks","null",4.000,-18.149,"O=C(NCc1occc1)c1c(C)onc1-c1c(NCCc2ccccc2)n(C)nc1"
